年度	支部名	翌々年度保険料率	特定健診等	特定保健指導	対象者減少率	受診勧奨	後発医薬品
2	北海道	10.39	45.00	9.80	31.70	9.20	81.50
2	青森	10.03	55.80	17.60	31.40	9.20	82.10
2	岩手	9.91	55.70	14.50	31.40	9.00	85.00
2	宮城	10.18	58.50	22.90	31.60	11.60	83.10
2	秋田	10.27	55.90	24.40	33.20	9.00	81.70
2	山形	9.99	73.00	22.70	33.30	10.80	83.30
2	福島	9.65	53.10	24.90	33.50	10.30	81.80
2	茨城	9.77	52.30	13.90	31.70	12.00	78.80
2	栃木	9.9	53.40	23.50	32.40	10.50	79.50
2	群馬	9.73	51.20	10.60	31.70	9.30	80.30
2	埼玉	9.71	43.00	6.60	31.80	8.70	79.80
2	千葉	9.76	40.00	12.60	31.40	9.70	80.10
2	東京	9.81	47.20	7.70	32.40	9.20	78.40
2	神奈川	9.85	41.70	8.90	31.70	10.20	79.00
2	新潟	9.51	65.20	17.50	33.10	11.10	81.50
2	富山	9.61	67.20	27.60	31.60	15.90	80.80
2	石川	9.89	61.10	15.40	31.00	13.10	79.50
2	福井	9.96	58.30	17.00	32.70	13.90	79.10
2	山梨	9.66	62.90	16.20	31.60	10.60	78.90
2	長野	9.67	58.80	18.70	32.30	9.90	81.20
2	岐阜	9.82	56.60	21.80	33.20	8.90	77.90
2	静岡	9.75	54.60	15.60	33.50	10.50	80.40
2	愛知	9.93	49.70	11.20	31.80	9.80	78.30
2	三重	9.91	57.70	14.40	32.40	9.60	78.30
2	滋賀	9.83	57.00	19.80	33.90	10.90	80.30
2	京都	9.95	55.90	11.30	33.70	8.90	76.10
2	大阪	10.22	42.80	11.70	32.90	10.20	76.40
2	兵庫	10.13	49.10	11.50	32.60	10.60	78.90
2	奈良	9.96	50.10	17.80	35.10	11.20	74.00
2	和歌山	10.18	49.80	13.70	34.80	11.40	74.80
2	鳥取	9.94	50.00	15.80	32.60	9.40	81.20
2	島根	10.35	64.80	23.20	32.80	8.60	82.70
2	岡山	10.25	56.00	28.80	31.60	8.00	78.20
2	広島	10.09	53.30	15.40	31.80	8.60	77.90
2	山口	10.15	53.40	17.00	33.00	8.40	81.00
2	徳島	10.43	55.20	20.30	34.70	10.00	72.10
2	香川	10.34	51.30	29.10	32.50	8.80	76.50
2	愛媛	10.26	56.70	16.10	32.20	8.20	76.40
2	高知	10.3	60.80	14.20	29.30	9.20	74.90
2	福岡	10.21	50.10	14.30	32.90	12.00	80.50
2	佐賀	11	49.30	17.90	33.40	9.00	82.00
2	長崎	10.47	54.00	21.00	33.10	9.10	81.60
2	熊本	10.45	57.90	29.10	32.80	11.20	81.70
2	大分	10.52	61.00	24.30	33.10	8.90	79.30
2	宮崎	10.14	52.20	14.60	34.30	8.90	82.30
2	鹿児島	10.65	49.20	12.90	32.20	9.60	84.70
2	沖縄	10.09	55.80	25.90	33.10	9.60	88.60
3	北海道	10.29	47.30	11.60	34.50	9.70	82.30
3	青森	9.79	58.10	19.20	34.30	9.30	82.50
3	岩手	9.77	61.10	17.00	33.30	10.60	85.30
3	宮城	10.05	60.60	24.30	35.00	11.90	83.60
3	秋田	9.86	59.20	36.20	34.50	9.00	82.50
3	山形	9.98	75.10	27.30	34.70	10.50	84.00
3	福島	9.53	57.40	26.40	35.10	10.90	82.50
3	茨城	9.73	55.90	14.90	33.00	12.10	79.60
3	栃木	9.96	58.30	23.90	34.90	11.00	80.40
3	群馬	9.76	54.20	12.40	33.60	9.40	81.20
3	埼玉	9.82	48.00	9.40	34.40	8.90	80.50
3	千葉	9.87	44.80	14.50	34.80	9.20	80.70
3	東京	10	51.50	8.90	35.50	8.90	79.20
3	神奈川	10.02	46.50	10.50	35.10	11.60	79.70
3	新潟	9.33	67.50	21.90	34.90	11.50	81.90
3	富山	9.57	69.10	33.10	33.70	13.00	81.10
3	石川	9.66	65.40	22.50	35.10	12.30	80.00
3	福井	9.91	64.20	20.80	35.20	13.90	79.30
3	山梨	9.67	64.50	21.00	33.40	10.40	79.90
3	長野	9.49	61.40	29.80	35.20	10.40	81.70
3	岐阜	9.8	63.40	26.00	36.10	11.70	79.10
3	静岡	9.75	56.50	16.70	35.50	12.30	81.20
3	愛知	10.01	53.10	13.60	34.70	10.50	79.50
3	三重	9.81	60.40	18.40	33.80	10.30	79.10
3	滋賀	9.73	62.20	20.10	34.90	9.10	80.70
3	京都	10.09	58.60	17.60	36.10	9.50	76.90
3	大阪	10.29	46.80	12.60	35.50	9.50	77.40
3	兵庫	10.17	54.00	15.90	34.70	10.00	79.70
3	奈良	10.14	54.70	21.40	37.20	13.70	75.50
3	和歌山	9.94	53.80	17.90	36.00	10.00	76.20
3	鳥取	9.82	55.50	20.40	35.00	10.90	81.90
3	島根	10.26	66.80	23.50	34.40	8.00	83.40
3	岡山	10.07	57.90	35.20	33.40	8.30	79.10
3	広島	9.92	56.20	18.00	34.50	9.50	78.70
3	山口	9.96	55.20	19.50	33.60	9.10	81.70
3	徳島	10.25	54.40	27.30	36.00	8.60	73.70
3	香川	10.23	54.70	35.90	35.60	9.50	77.40
3	愛媛	10.01	59.20	18.90	34.30	8.50	77.60
3	高知	10.1	61.50	16.50	31.80	9.10	76.20
3	福岡	10.36	52.30	14.00	34.50	10.50	81.30
3	佐賀	10.51	55.60	18.00	35.10	11.50	82.70
3	長崎	10.21	55.80	28.10	34.40	9.30	82.30
3	熊本	10.32	62.00	31.10	35.00	11.50	82.60
3	大分	10.2	64.90	29.10	35.10	7.90	80.30
3	宮崎	9.76	55.90	15.70	34.90	10.40	83.10
3	鹿児島	10.26	49.00	16.00	34.60	17.20	85.40
3	沖縄	9.89	57.80	28.90	34.40	9.30	89.00
4	北海道	10.21	49.10	11.70	32.70	33.80	82.80
4	青森	9.49	61.10	22.20	32.20	35.50	83.30
4	岩手	9.63	62.50	21.70	33.50	34.80	85.70
4	宮城	10.01	64.40	22.90	33.10	34.60	84.40
4	秋田	9.85	61.20	31.90	34.30	37.60	83.40
4	山形	9.84	77.30	25.70	34.40	40.20	85.20
4	福島	9.59	58.20	26.70	34.00	34.20	83.30
4	茨城	9.66	55.50	15.00	33.30	35.20	80.80
4	栃木	9.79	61.00	25.40	34.40	36.60	81.40
4	群馬	9.81	55.20	13.20	33.00	33.70	82.00
4	埼玉	9.78	49.80	8.40	33.70	32.20	81.60
4	千葉	9.77	46.90	14.40	34.20	32.20	81.70
4	東京	9.98	53.10	9.50	35.20	34.10	80.40
4	神奈川	10.02	48.20	10.40	34.00	33.90	80.90
4	新潟	9.35	69.90	22.00	33.50	38.60	82.90
4	富山	9.62	71.80	31.90	33.50	39.40	81.90
4	石川	9.94	66.60	23.70	33.90	36.00	81.00
4	福井	10.07	65.40	21.90	34.20	35.70	79.90
4	山梨	9.94	67.80	18.70	33.30	31.80	80.80
4	長野	9.55	64.00	29.40	34.60	36.30	82.60
4	岐阜	9.91	64.80	25.50	34.90	35.90	80.40
4	静岡	9.85	59.40	16.70	34.70	35.30	82.10
4	愛知	10.02	55.80	14.50	33.40	35.80	80.60
4	三重	9.94	64.40	15.40	34.00	35.10	80.20
4	滋賀	9.89	61.90	20.20	34.50	33.50	81.90
4	京都	10.13	60.90	17.10	35.50	32.20	78.00
4	大阪	10.34	49.80	12.80	35.00	33.80	78.50
4	兵庫	10.18	56.60	15.20	34.50	33.60	80.50
4	奈良	10.22	56.80	22.60	36.70	35.90	76.60
4	和歌山	10	56.30	15.30	34.70	34.60	77.40
4	鳥取	9.68	57.10	21.90	33.70	33.50	82.80
4	島根	9.92	70.80	19.60	34.50	37.90	84.30
4	岡山	10.02	63.70	33.10	32.30	37.10	80.00
4	広島	9.95	57.30	18.60	33.30	37.40	79.80
4	山口	10.2	57.00	18.20	35.30	33.60	82.70
4	徳島	10.19	55.10	24.80	35.30	32.80	74.50
4	香川	10.33	54.10	33.70	34.20	35.50	78.30
4	愛媛	10.03	61.40	18.30	33.30	35.30	79.00
4	高知	9.89	66.10	15.50	30.20	31.60	76.90
4	福岡	10.35	55.40	19.30	34.30	36.50	82.30
4	佐賀	10.42	58.90	26.20	36.40	39.10	83.30
4	長崎	10.17	57.70	26.80	35.40	34.60	83.10
4	熊本	10.3	62.10	36.20	33.20	38.80	83.40
4	大分	10.25	65.50	29.40	34.10	38.20	81.00
4	宮崎	9.85	56.60	19.30	34.70	36.80	84.20
4	鹿児島	10.13	55.10	19.60	34.70	38.70	86.10
4	沖縄	9.52	60.10	24.50	34.20	35.80	89.30
5	北海道	10.31	53.50	13.50	32.40	32.60	84.40
5	青森	9.85	61.40	28.40	33.50	34.20	84.80
5	岩手	9.62	63.70	22.20	34.00	31.40	87.10
5	宮城	10.11	64.10	24.40	32.50	33.40	86.00
5	秋田	10.01	62.90	32.30	33.00	37.90	85.10
5	山形	9.75	77.90	29.10	33.70	37.40	87.10
5	福島	9.62	59.80	27.90	33.80	31.30	84.80
5	茨城	9.67	55.70	17.20	32.10	32.20	82.70
5	栃木	9.82	61.70	27.60	33.60	34.60	83.10
5	群馬	9.77	55.50	14.50	32.30	32.60	83.80
5	埼玉	9.76	48.10	9.70	33.20	30.50	83.50
5	千葉	9.79	47.70	16.00	33.50	32.20	83.40
5	東京	9.91	53.80	11.60	34.40	32.00	82.30
5	神奈川	9.92	48.20	13.50	33.40	31.90	82.60
5	新潟	9.55	70.40	24.20	34.20	36.10	84.80
5	富山	9.65	72.30	33.20	33.10	38.50	83.80
5	石川	9.88	67.00	27.50	33.60	32.80	82.90
5	福井	9.94	67.60	24.30	32.90	33.60	81.80
5	山梨	9.89	69.00	22.50	33.20	33.40	82.60
5	長野	9.69	64.50	31.20	34.00	36.20	84.60
5	岐阜	9.93	65.50	24.60	34.80	36.20	82.70
5	静岡	9.8	59.70	17.70	34.30	34.60	83.80
5	愛知	10.03	57.00	16.80	33.20	31.10	82.60
5	三重	9.99	64.60	18.10	33.40	34.80	82.10
5	滋賀	9.97	62.60	19.50	33.80	32.30	83.60
5	京都	10.03	62.80	17.80	34.80	30.50	80.30
5	大阪	10.24	50.20	13.80	34.10	31.60	80.70
5	兵庫	10.16	56.80	15.50	33.70	32.80	82.40
5	奈良	10.02	56.30	20.80	35.50	37.10	79.00
5	和歌山	10.19	57.50	17.90	35.20	32.70	79.80
5	鳥取	9.93	58.00	23.60	33.70	31.00	84.60
5	島根	9.94	71.50	25.60	33.50	35.80	86.30
5	岡山	10.17	65.00	35.60	32.40	38.30	81.80
5	広島	9.97	59.30	21.40	33.40	36.70	81.80
5	山口	10.36	57.10	20.20	34.40	33.70	84.60
5	徳島	10.47	57.00	27.20	35.80	31.10	77.00
5	香川	10.21	55.00	34.10	33.50	32.50	80.60
5	愛媛	10.18	63.00	19.20	33.20	33.70	81.00
5	高知	10.13	68.00	17.10	31.00	29.90	79.10
5	福岡	10.31	57.90	21.50	34.10	33.30	83.90
5	佐賀	10.78	58.90	24.80	34.50	34.80	85.10
5	長崎	10.41	59.30	25.60	34.50	33.80	84.70
5	熊本	10.12	64.10	38.30	34.00	38.90	85.10
5	大分	10.25	66.60	30.80	34.30	37.50	82.80
5	宮崎	10.09	60.10	20.70	34.50	34.10	85.90
5	鹿児島	10.31	51.60	21.50	34.10	39.00	87.50
5	沖縄	9.44	60.20	28.80	33.90	33.90	90.10
6	北海道	10.28	56.10	16.00	32.20	33.30	87.90
6	青森	9.85	63.20	29.20	31.60	32.90	88.40
6	岩手	9.51	65.70	21.80	33.20	32.80	90.20
6	宮城	10.1	65.80	26.60	32.20	33.90	89.40
6	秋田	10.01	64.30	32.80	34.00	36.00	88.60
6	山形	9.75	79.20	30.60	33.00	35.80	90.20
6	福島	9.5	62.80	25.80	33.50	32.20	88.70
6	茨城	9.52	58.40	16.70	32.40	32.20	86.80
6	栃木	9.82	63.80	25.90	33.60	36.00	86.40
6	群馬	9.68	57.40	14.50	32.90	31.80	87.30
6	埼玉	9.67	51.00	10.50	33.10	31.90	87.20
6	千葉	9.73	51.60	17.20	32.90	32.40	87.00
6	東京	9.85	54.60	14.20	34.00	33.30	86.10
6	神奈川	9.92	51.80	13.80	32.80	32.90	86.50
6	新潟	9.21	72.10	28.40	35.50	38.70	88.60
6	富山	9.59	73.70	28.40	33.00	38.40	87.50
6	石川	9.7	69.10	27.40	33.60	33.80	87.10
6	福井	9.71	69.90	22.70	32.80	32.80	86.20
6	山梨	9.55	70.20	27.20	32.70	34.70	86.70
6	長野	9.63	65.90	25.30	33.40	35.30	87.90
6	岐阜	9.8	65.90	26.40	34.20	35.30	87.30
6	静岡	9.61	62.80	18.80	34.30	35.00	87.50
6	愛知	9.93	57.70	17.20	32.90	31.70	86.80
6	三重	9.77	65.70	19.20	33.40	34.30	85.90
6	滋賀	9.88	65.00	16.70	33.60	31.60	87.60
6	京都	9.89	64.10	17.90	33.60	31.30	84.90
6	大阪	10.13	51.50	13.10	33.70	32.70	85.00
6	兵庫	10.12	57.90	15.40	33.60	33.30	86.50
6	奈良	9.91	59.00	20.40	35.10	36.90	83.50
6	和歌山	10.06	61.50	16.70	34.30	34.70	84.30
6	鳥取	9.86	61.60	25.50	32.40	32.00	87.70
6	島根	9.94	72.40	39.50	33.50	34.50	89.70
6	岡山	10.05	66.20	34.80	32.20	38.90	85.90
6	広島	9.78	60.80	22.20	33.40	35.30	86.10
6	山口	10.15	60.80	19.00	32.40	33.30	88.20
6	徳島	10.24	56.60	29.00	35.30	31.70	82.30
6	香川	10.02	57.90	34.50	33.20	34.00	84.90
6	愛媛	9.98	63.20	20.10	32.70	34.10	85.00
6	高知	10.05	69.10	17.90	31.10	34.90	83.80
6	福岡	10.11	58.90	22.80	33.10	34.50	87.50
6	佐賀	10.55	59.30	24.60	33.30	36.90	88.70
6	長崎	10.06	58.80	23.50	33.40	36.50	88.10
6	熊本	10.08	63.90	37.30	32.60	37.90	88.40
6	大分	10.08	64.80	34.90	33.20	38.00	86.80
6	宮崎	9.77	60.30	20.00	34.20	33.60	89.30
6	鹿児島	10.13	54.10	18.30	33.60	37.80	90.20
6	沖縄	9.44	59.80	31.40	33.20	36.00	92.40
